Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,,,,
ACME HOLDINGS BERHAD,45016,49590.48,0.24,"RM1,142,754.00",206627,206627,"RM225,621.00",399108,"RM9,227,715.00","RM1,349,381.00","RM950,273.00","RM513,205.00","RM7,480.00",581038,"RM68,584.48","RM225,621.00","RM14,673,811.00",#NUM!,"RM462,890.00","RM358,779,916.00","RM358,758,600.00",0.0006,0.0006,225621,225621,0,225621,225621,225621,717172,942793,2780602,206627,-206627,513205,60353,7480,581038,-2533839,5446096,#NUM!,5446096,0,5446096,2912257,9227715,"RM12,139,972.00","RM12,139,972.00",,,,,,,,,
ACME HOLDINGS BERHAD,44651,1901.869454,0.048108,"RM-880,150.00",39533,39533,"RM-2,589,801.00",1847663,"RM8,924,004.00","RM-840,617.00","RM-2,688,280.00","RM288,186.00","RM32,409.00",320595,"RM-2,627,432.13","RM-2,589,801.00","RM13,284,781.00",34400,"RM-2,977,772.00","RM319,986,177.00","RM314,406,575.00",-0.0082,-0.0082,-2589801,-2589801,0,-2589801,-2589801,-2589801,-130888,-2720689,407277,21983,-21983,288186,#NUM!,32409,320595,-3432467,4360777,-22318,4383095,14838,4368257,928310,8924004,"RM9,852,314.00","RM9,852,314.00",,,,,,,,,
ACME HOLDINGS BERHAD,44286,0,0.278007,"RM6,057,910.00",#NUM!,#NUM!,"RM2,579,494.00",2411757,"RM23,217,510.00","RM6,057,910.00","RM3,646,153.00","RM-73,414.00","RM73,414.00",#NUM!,"RM2,579,494.00","RM2,579,494.00","RM26,664,224.00",36200,"RM3,649,014.00","RM283,401,670.00","RM270,603,962.00",0.0091,0.0095,2579494,2579494,0,2579494,2579494,2579494,993245,3572739,#NUM!,#NUM!,#NUM!,-73414,#NUM!,73414,#NUM!,3649014,3446714,#NUM!,4616672,598286,4018386,7095728,23217510,"RM30,313,238.00","RM30,313,238.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,,,,,
ACO GROUP BERHAD,44985,0,0.236099,"RM10,481,188.00","RM5,741,157.00",2231340,"RM113,844,405.00","RM10,481,188.00","RM8,249,848.00","RM-734,268.00","RM734,268.00","RM5,741,157.00","RM5,741,157.00","RM126,521,337.00",#NUM!,"RM5,986,262.00","RM347,371,000.00","RM347,371,000.00",0.02,0.02,5741157,5741157,0,5741157,RM0.00,5741157,5741157,1774423,7515580,#NUM!,-734268,734268,5986262,12676932,14450588,14450588,18663194,113844405,"RM132,507,599.00","RM132,507,599.00",,,,,,,,,,,,,,,,,
ACO GROUP BERHAD,44620,0,0.2166,"RM11,912,467.00","RM7,063,235.00",2004853,"RM105,017,059.00","RM11,912,467.00","RM9,907,614.00","RM-891,483.00","RM891,483.00","RM7,063,235.00","RM7,063,235.00","RM117,026,464.00",#NUM!,"RM7,903,588.00","RM343,223,241.00","RM343,223,241.00",0.02,0.02,7063235,7063235,0,7063235,RM0.00,7063235,7063235,1952896,9016131,#NUM!,-891483,891483,7903588,12009405,12871962,12871962,19912993,105017059,"RM124,930,052.00","RM124,930,052.00",,,,,,,,,,,,,,,,,
ACO GROUP BERHAD,44255,0,0.24,"RM7,828,645.00","RM2,845,932.00",1683111,"RM91,839,190.00","RM7,828,645.00","RM6,145,534.00","RM-1,013,440.00","RM1,013,440.00","RM2,845,932.00","RM2,845,932.00","RM105,044,956.00",57422,"RM5,545,493.00","RM305,459,712.00","RM305,459,712.00",0.01,0.01,2845932,2845932,0,2845932,RM0.00,2845932,2845932,2286162,5132094,1165450,-1013440,1013440,5545493,13205766,14371216,14371216,18751259,91839190,"RM110,590,449.00","RM110,590,449.00",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,WriteOff,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,
ADVANCE INFORMATION MARKETING BERHAD,44926,0,0.24,"RM-3,904,190.00",0,0,"RM-4,442,604.00",380250,"RM3,075,937.00","RM-3,904,190.00","RM-4,284,440.00","RM-149,131.00","RM149,131.00","RM-4,442,604.00","RM-4,442,604.00","RM7,679,595.00",16074,"RM-4,284,440.00","RM149,591,217.00","RM149,591,217.00",-0.029702,-0.029702,-4442604,-4442604,0,-4442604,-4442604,-4442604,9033,-4433571,-43010,0,0,-149131,149131,-4241430,4603658,4678016,34317,4643699,362228,3075937,"RM3,438,165.00","RM3,438,165.00",,,,,,,,,,,,,
ADVANCE INFORMATION MARKETING BERHAD,44561,0,0.004926,"RM-4,730,843.00",0,0,"RM-5,161,551.00",364869,"RM6,798,490.00","RM-4,730,843.00","RM-5,095,712.00","RM-91,392.00","RM91,392.00","RM-5,161,551.00","RM-5,161,551.00","RM12,839,819.00",25470,"RM-5,095,712.00","RM149,591,217.00","RM149,591,217.00",-0.034504,-0.034504,-5161551,-5161551,0,-5161551,-5161551,-5161551,-25553,-5187104,-7564,0,0,-91392,91392,-5088148,6041329,6209777,36486,6173291,953181,6798490,"RM7,751,671.00","RM7,751,671.00",,,,,,,,,,,,,
